step,seqCLR10_012,seqCLR10,simCLR10,Base,MIM
0,1,0.95389997959137,1,1,1
2,0.664600014686585,0.77319997549057,0.57370001077652,0.689199984073639,1
4,0.467400014400482,0.754299998283386,0.348899990320206,0.453700006008148,1
6,0.332800000905991,0.72979998588562,0.235699996352196,0.275400012731552,0.741299986839294
8,0.250499993562698,0.703000009059906,0.188299998641014,0.20440000295639,0.52649998664856
